ExpectedShippingDays,ActualShippingDays,Carrier,YShippingDistance,XShippingDistance,InBulkOrder,ShippingOrigin,OrderDate,OrderID,ShippingPriority,OnTimeDelivery,ProductId
14.669159889221191,19,GlobalFreight,277,20,Bulk Order,Seattle,8/23/21,59408df2-3ad1-41c6-9445-177f1a7ce612,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.699287414550781,19,BigBird,185,-36,Single Order,New York City,2/1/20,6d20e695-d332-447d-8d16-37347ef568b3,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
14.54653263092041,17,Shipper,209,-9,Bulk Order,Seattle,4/13/20,35795df4-e701-4dc8-89b3-5a4c82939522,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.538780212402344,20,Shipper,-38,153,Single Order,Atlanta,2/17/20,cc97956d-b0af-4df1-88b6-8140125070c7,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
9.636428833007812,9,MicroCarrier,-117,-30,Bulk Order,New York City,5/30/20,056afb77-02e1-4588-993e-d529f03617c1,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.421327590942383,17,Shipper,-47,196,Single Order,Seattle,12/11/20,a6c713c1-af0e-43f9-adbb-04e2c79bb3d1,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
11.94842529296875,12,Shipper,91,-54,Bulk Order,Las Vegas,1/5/21,b4fdb6c1-3ffe-4cd5-9110-6b5c63936193,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.908111572265625,15,Shipper,-98,44,Single Order,San Francisco,12/29/21,d4000494-fdd2-42ee-b4d2-cdd86b781754,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.928457260131836,16,GlobalFreight,140,-21,Single Order,San Francisco,8/28/21,6128b2c6-9ae8-4b95-a775-6d164ed7bd5f,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.528340339660645,14,BigBird,126,21,Single Order,Atlanta,11/18/21,ebab3556-86aa-449d-a18a-b4f21c3a6d7b,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12.021709442138672,12,MicroCarrier,-176,13,Single Order,Atlanta,2/10/21,4436688e-a295-4237-a3a8-445a7a43a286,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17.557899475097656,19,BigBird,64,-174,Single Order,Seattle,8/16/21,9146b414-0734-42e7-a6df-cb9051f2e26d,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.18577766418457,15,Shipper,188,-36,Single Order,San Francisco,2/15/20,11afd7ba-f248-49d6-b50e-b1361c544ba0,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12.000107765197754,12,GlobalFreight,-8,167,Bulk Order,Chicago,2/8/20,4311dd19-ca5a-4f24-8ab4-d731c49e4e32,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.079219818115234,15,BigBird,-435,18,Single Order,Seattle,4/6/20,5de33179-9d24-42f0-bf5d-c84686f87b7c,Air,Late,b35af302-9875-4471-8464-9d2645c27a4d
11.08691692352295,11,GlobalFreight,10,-159,Bulk Order,Atlanta,11/4/20,cdcf24fd-2e2f-424a-92b7-3c0e5de56b9e,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
8.98636245727539,9,Shipper,11,-197,Bulk Order,Salt Lake City,10/22/21,f25973bd-ded0-40d1-a6a0-db427d3f6449,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.191051483154297,17,BigBird,150,99,Single Order,New York City,2/21/21,9eebf980-3c31-4d4c-be5e-9dfc45225c98,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
12.052762031555176,12,BigBird,123,-52,Single Order,Seattle,6/25/20,49912aef-f42a-4257-ad1d-89e74cc33456,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.405158996582031,13,GlobalFreight,259,-12,Single Order,Chicago,8/1/21,b44400ac-cb25-4c55-bc00-4b4b853866b8,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17.224578857421875,17,BigBird,-8,-172,Single Order,San Francisco,1/28/21,59fef684-a644-4be7-b68c-1e4721137212,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.825408935546875,17,BigBird,45,267,Single Order,Houston,11/10/20,5626eb93-8c1e-436e-9617-688d4874d38f,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.924528121948242,15,BigBird,87,-11,Single Order,Houston,9/14/20,b2216375-081c-4333-b1e0-623677c01e60,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
10.077035903930664,10,GlobalFreight,-120,-36,Bulk Order,New York City,11/8/20,6affc0c1-ea6d-4788-b048-1168e1fc22ec,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
11.864995956420898,13,Shipper,-228,12,Bulk Order,Houston,4/28/21,059d9695-db18-4b99-9306-2d3631d38442,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
10.8939790725708,11,BigBird,175,-11,Bulk Order,Salt Lake City,7/5/21,b18490cc-2a03-4dca-9178-a849023f66f3,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
4.877553939819336,5,GlobalFreight,59,-47,Bulk Order,Salt Lake City,7/24/21,952a3d87-39b6-4fab-b581-4a3763d1135c,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.646078109741211,15,MicroCarrier,176,9,Single Order,Chicago,2/20/20,0614bd24-5a9e-40a4-812e-f0c28436f4db,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.008366584777832,14,GlobalFreight,-27,-336,Bulk Order,New York City,7/1/20,a344ad9e-4ee1-4323-ae74-a45fabd0474d,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
10.964641571044922,11,Shipper,47,35,Bulk Order,New York City,11/19/20,ec0a2226-cd66-4001-80ae-0b14c46dfa96,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.083629608154297,15,MicroCarrier,-73,-244,Bulk Order,Atlanta,10/23/20,698c381d-6633-4508-9c52-fb94281f80c9,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
10.63582992553711,10,GlobalFreight,-127,24,Bulk Order,Las Vegas,3/19/21,7c0e288c-ebc4-48c6-893d-7361bf4955ef,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.904884338378906,16,BigBird,-111,28,Single Order,Seattle,3/12/21,504a4634-d0e0-44bf-9098-29cd18b68ded,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
6.269559860229492,6,MicroCarrier,-99,-49,Bulk Order,Salt Lake City,7/20/20,6b55ff81-0527-4256-b938-3cbd523a397d,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.618385314941406,20,Shipper,-42,120,Bulk Order,San Francisco,8/20/21,fa2e4727-5058-43ad-ba1c-02d065c1f531,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
15.05612564086914,16,GlobalFreight,-20,267,Single Order,Atlanta,3/24/21,7344fa86-dbcb-4889-a35d-27d779c36f0d,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.890840530395508,19,Shipper,247,-13,Single Order,San Francisco,11/12/21,5dd0f0d7-9b85-47f1-8192-4508b0a7ecb0,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
14.88473892211914,19,MicroCarrier,152,132,Bulk Order,Seattle,1/8/20,c84374bc-7c0b-477a-98f6-ed8f2bcb384d,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
17.12973403930664,28,BigBird,150,-63,Single Order,New York City,8/23/20,25e1029d-6fd8-47ad-a47c-083ccac78071,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
13.005941390991211,14,Shipper,16,173,Bulk Order,Las Vegas,3/13/21,6db82a26-2eba-414f-b78a-d9094e00f33a,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.39346694946289,17,Shipper,-217,34,Bulk Order,Seattle,12/26/20,c08011b3-f233-4276-9030-f22dd0e32910,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
13.174445152282715,19,Shipper,151,104,Bulk Order,San Francisco,10/28/20,2c842b63-4883-4bbe-a069-8ce83787e3a0,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
14.12603759765625,18,Shipper,22,-242,Bulk Order,Atlanta,11/20/20,035c4905-da7d-4f86-965d-e77f868b3da0,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
13.339527130126953,16,Shipper,8,210,Bulk Order,Houston,7/18/20,fc7a2381-0779-4013-a207-2233cedabd21,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
10.981386184692383,11,MicroCarrier,-53,104,Bulk Order,New York City,2/21/21,756db21a-16ed-479e-957f-7a95eba29357,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12.006223678588867,12,BigBird,109,-18,Bulk Order,New York City,12/8/20,b00c46e5-8122-4ad7-97f2-982ed72ad126,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
9.16145133972168,9,Shipper,90,30,Bulk Order,Salt Lake City,1/18/21,7f1039df-1270-4ee1-a6f2-dacad03fd9d7,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.88543701171875,16,MicroCarrier,270,-27,Single Order,Las Vegas,4/3/21,732816bb-7507-46ef-9a4d-e882f6ee877a,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.985918045043945,14,MicroCarrier,129,13,Single Order,San Francisco,9/14/21,f08a4d35-fe49-4e4a-ac0a-a42af974ba0c,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
11.010459899902344,11,MicroCarrier,-11,115,Bulk Order,Atlanta,3/31/21,4deca94e-f069-425b-9965-c0d6704b9e81,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.205728530883789,14,GlobalFreight,-148,102,Single Order,Salt Lake City,5/19/21,63fae436-69fa-46ec-9fb7-7e3e56a7b3c7,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.046635627746582,16,BigBird,-9,295,Single Order,Atlanta,3/27/20,afead8f6-f244-41d6-884e-577ff886ed9c,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.337373733520508,23,GlobalFreight,98,146,Single Order,Chicago,5/18/20,1bba7492-eeb9-497e-bacf-67c5cb365c9e,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
11.01284122467041,11,MicroCarrier,-22,-124,Bulk Order,Atlanta,9/19/21,b0d594d8-1e8b-4cc6-ab33-f797d20f6af0,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.994559288024902,14,BigBird,-86,56,Single Order,Las Vegas,9/19/20,bcd12616-32ab-49d8-8f2a-5b9080345115,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12.950410842895508,13,MicroCarrier,11,-175,Single Order,Houston,7/23/21,6c768cf3-dc7c-41fb-9580-338b357b2a24,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
8.637091636657715,8,Shipper,-29,130,Bulk Order,Salt Lake City,3/2/21,300e5355-05e1-4ef4-b330-96485ef36e77,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.141082763671875,18,MicroCarrier,-226,-44,Single Order,Las Vegas,7/12/20,76faf8ff-a6c3-4b0e-8f27-7b5764e38730,Air,Late,b35af302-9875-4471-8464-9d2645c27a4d
16.2598876953125,17,BigBird,-200,-8,Single Order,Houston,3/23/21,ce6a84e6-7254-4446-acc1-308fa495d474,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.389201164245605,22,Shipper,-14,-202,Single Order,Atlanta,11/12/21,3020fe4b-035b-4f38-846e-5f97c4288c61,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
13.271173477172852,14,GlobalFreight,-116,-14,Bulk Order,Seattle,8/5/20,12583691-7772-4fa5-9fe9-a6a556262263,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.027013778686523,16,MicroCarrier,-142,87,Single Order,Chicago,10/5/20,d6cf3823-d58c-4fb6-b491-92e8917862fe,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.190235137939453,15,Shipper,-175,-39,Single Order,Chicago,9/24/20,07dd4c3c-0114-43db-8af5-c2527ef26a9b,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.774914741516113,20,MicroCarrier,-195,-7,Single Order,Seattle,9/14/20,6b738227-aa64-4e11-a2e3-74ab49b6f507,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
11.996420860290527,12,GlobalFreight,-105,64,Bulk Order,Houston,10/17/21,400374de-49cf-437c-924c-4c0e68b8323f,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.26534652709961,15,Shipper,-178,-14,Single Order,Seattle,3/11/21,f5dfe0bf-6a4e-4ed4-8311-e21f7d0adde6,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14.78635025024414,15,BigBird,132,20,Single Order,Las Vegas,9/10/21,b1d8d186-1232-487f-83b9-d2572fdc448e,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15.65512466430664,18,BigBird,-30,-251,Single Order,Houston,3/26/21,3150613f-3d86-41e9-b9de-52b97350b25e,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
15.017508506774902,17,GlobalFreight,100,100,Single Order,Houston,5/28/21,74c61a4d-e9f7-4ec0-b27f-f641c24e5c22,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
12.090484619140625,12,Shipper,18,97,Single Order,Las Vegas,3/29/20,7e73154c-ce16-4993-a6fa-0b6dae8fc2a4,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12.04655647277832,12,GlobalFreight,-44,-129,Bulk Order,Las Vegas,5/26/21,8d1e064f-6587-4b7d-8e9c-560d58b0fc11,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.414318084716797,16,BigBird,143,46,Single Order,San Francisco,1/1/21,bae8c88d-1ae6-4db7-b8d8-8bc6fde3b9ce,Air,Late,b35af302-9875-4471-8464-9d2645c27a4d
13.961254119873047,16,BigBird,239,18,Single Order,San Francisco,12/10/20,5d75e143-53ea-49a8-80be-38f11b6d3970,Air,Late,b35af302-9875-4471-8464-9d2645c27a4d
14.002725601196289,14,Shipper,-77,-10,Single Order,Las Vegas,2/6/21,e26d58e9-122b-4443-87c8-e1a92bbb8ff7,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13.45530891418457,23,GlobalFreight,90,81,Bulk Order,Seattle,8/13/21,d8f52443-139e-4867-a996-6e60dfd250ab,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
16.68980598449707,17,BigBird,-50,85,Single Order,Atlanta,8/28/20,3387a3cb-44fc-492a-b99d-98b489b97146,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.112665176391602,14,MicroCarrier,-30,141,Bulk Order,San Francisco,7/28/20,7973a54a-5b24-4275-903e-496a9388b8fa,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.276437759399414,15,MicroCarrier,162,-22,Single Order,Atlanta,3/16/20,3d65f6bd-30f9-4fc5-a34a-891ac82bc2cd,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.332849502563477,18,GlobalFreight,-191,16,Bulk Order,Houston,10/15/20,772005d1-9511-466d-99ac-42bebc010f5c,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.039352416992188,12,GlobalFreight,-98,50,Bulk Order,Houston,4/6/20,097e8c39-643b-474d-8591-ce7872a348b4,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.049592971801758,12,BigBird,-17,-108,Single Order,Salt Lake City,8/16/21,3182af2a-0e86-4e14-a762-58e1a6818682,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.150766372680664,15,BigBird,176,20,Single Order,Atlanta,2/10/20,6873fab6-d0f7-4362-9bc7-c0c805be6249,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.939406394958496,16,MicroCarrier,292,7,Bulk Order,Seattle,11/18/20,c40ba512-aa02-4914-9bd4-1e2bdd49f789,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
15.869925498962402,16,BigBird,-85,-85,Single Order,Las Vegas,3/20/21,9938fe01-6d17-474f-93df-7a2b8ee463eb,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.986663818359375,14,Shipper,-184,22,Bulk Order,Houston,4/14/20,55a6ceae-459b-4a8c-affe-254542c311d0,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
16.018171310424805,22,BigBird,-43,319,Single Order,Seattle,2/27/21,6acf1b64-5227-4fe9-aeaa-6374e0557c3c,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
13.120404243469238,13,BigBird,21,-149,Single Order,New York City,2/21/20,d2bff0b7-4568-45c7-8775-7623242b1432,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.05116081237793,13,MicroCarrier,42,79,Single Order,Seattle,4/8/20,499353aa-f88a-4273-ba0a-144bc209b97b,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.973634719848633,15,Shipper,41,144,Bulk Order,Chicago,2/11/20,50d148cb-8a24-4420-a284-2361835e7893,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
10.1746826171875,10,BigBird,75,-69,Bulk Order,Atlanta,1/10/20,621704b0-a122-41e5-a6d7-2a27333d894e,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
15.972087860107422,16,MicroCarrier,-45,78,Single Order,San Francisco,5/27/20,f16cd037-bbb7-4ea3-9126-4f1cb1e828f7,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.004427909851074,13,MicroCarrier,-58,-20,Single Order,Atlanta,2/13/21,a2c3d2b9-a0cf-440e-b5b4-3fb602ac7587,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.173635482788086,18,Shipper,92,-170,Bulk Order,Las Vegas,2/16/21,478449ee-19f9-4496-9f2b-c37accff1e61,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.008522987365723,13,BigBird,51,94,Single Order,New York City,12/1/21,4c87f572-40b1-4add-8403-ac42367d44a3,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
15.149560928344727,16,Shipper,172,24,Single Order,Chicago,12/15/20,bef1eafa-9da4-4f83-9a17-87e5eb70f37a,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.037118911743164,13,MicroCarrier,-63,-67,Single Order,Houston,4/11/21,8fb247d6-d0f5-401f-9761-e12c388b2a57,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.037059783935547,13,BigBird,-111,-10,Single Order,Atlanta,5/3/21,020f0b54-0cb7-4616-ae22-790788c90e39,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.481161117553711,14,BigBird,-52,179,Single Order,Atlanta,1/30/21,7d196d62-e050-43aa-bfab-99fd2f4dbbee,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
11.966686248779297,12,BigBird,-221,-13,Single Order,New York City,10/22/20,68c76afd-befe-4edf-887d-a1fea1e36820,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.776590347290039,20,GlobalFreight,-144,-54,Bulk Order,Seattle,9/17/20,3c2a9237-ff83-4cf0-a2f7-e5236096d90b,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
11.987685203552246,12,Shipper,27,-187,Single Order,Chicago,4/8/21,ffce8a74-6b09-4605-9f4e-9115c55fdb2e,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
9.131484985351562,9,Shipper,110,-10,Bulk Order,Salt Lake City,9/12/21,fb5c4332-f7e6-4039-b0a5-8076841797df,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
10.099841117858887,10,MicroCarrier,178,-48,Bulk Order,Salt Lake City,1/29/21,5e2d9719-8859-4c23-b62e-135f20aef05f,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.230306625366211,20,MicroCarrier,-33,-193,Bulk Order,San Francisco,2/7/21,bd9114f7-af62-403d-971a-312d48c0e297,Standard,Late,f1cb3845-019a-4fa9-99f3-111c03158514
16.843311309814453,18,MicroCarrier,108,-171,Single Order,San Francisco,2/18/21,87bba790-de35-42c2-8c4a-e93e5eb46dec,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
9.309125900268555,9,Shipper,64,50,Bulk Order,New York City,9/29/20,defeda15-ea12-4f18-9e4c-39f48e0996df,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.218412399291992,19,MicroCarrier,50,-102,Bulk Order,Houston,8/29/20,6a268633-c384-4108-8233-6b467a1cad9f,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
12.999773025512695,13,MicroCarrier,-138,-43,Single Order,Las Vegas,11/8/21,106b154d-3492-4361-8f58-60e19e2d9426,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.09695053100586,12,MicroCarrier,62,-74,Single Order,Atlanta,11/14/21,95f447c2-e2cc-4e97-a637-2c37b66739a6,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.803068161010742,16,GlobalFreight,13,359,Bulk Order,Seattle,7/15/21,6e23f502-bbfb-45c4-b436-3ffc76715579,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.96119499206543,16,BigBird,38,-188,Bulk Order,Atlanta,3/11/20,a8807396-4bca-4abc-9db6-af4d384d52df,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
14.93667984008789,20,BigBird,-197,14,Single Order,Las Vegas,8/11/20,3934896c-d222-4893-8bcf-153e6bd47578,Standard,Late,f1cb3845-019a-4fa9-99f3-111c03158514
15.766776084899902,17,BigBird,-17,204,Single Order,Atlanta,3/12/21,3fc48cd6-6050-4ac7-a412-70ffa4b4f7b2,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.793323516845703,16,GlobalFreight,-12,213,Bulk Order,Houston,8/17/21,75285146-beec-4585-8b69-35895c9c4f3c,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.654621124267578,17,MicroCarrier,-250,-8,Bulk Order,New York City,9/6/21,35a58132-732c-4f82-a8ec-8606efd1c9d1,Standard,Late,f1cb3845-019a-4fa9-99f3-111c03158514
13.00507926940918,14,Shipper,135,92,Bulk Order,Las Vegas,9/16/20,55948237-51a6-4b04-983c-734a6e449884,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.411636352539062,16,GlobalFreight,39,-245,Bulk Order,Salt Lake City,12/2/21,cb2ccbc8-7804-4d53-8ae0-5ffbda79527e,Standard,Late,f1cb3845-019a-4fa9-99f3-111c03158514
13.120302200317383,15,Shipper,32,-273,Bulk Order,Chicago,4/18/20,3ea2bbf2-c4ef-4f65-a8af-1269495137b5,Standard,Late,f1cb3845-019a-4fa9-99f3-111c03158514
13.598382949829102,19,BigBird,316,13,Single Order,Las Vegas,9/26/21,681e2b1e-5a47-4360-81f8-0e77d24be1cb,Air,Late,f1cb3845-019a-4fa9-99f3-111c03158514
14.889659881591797,15,Shipper,44,-148,Single Order,San Francisco,5/17/20,8aedba9f-5cd1-4083-9afd-0c1068689028,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.159112930297852,14,GlobalFreight,10,233,Single Order,New York City,1/12/20,f01130fc-1c2b-4c99-a8e6-5ec86a62ae10,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.089520454406738,20,Shipper,80,-101,Bulk Order,New York City,11/25/21,f233f96c-7fe4-4124-815f-c1d855c41d11,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
11.139007568359375,11,GlobalFreight,-149,-37,Bulk Order,Houston,5/3/20,090b4dba-6b1c-4d3c-936d-28f6b3335263,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
15.189383506774902,16,GlobalFreight,164,-23,Single Order,Chicago,1/31/21,d5f36f04-1230-4c6a-bb10-6173258b1176,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.787946701049805,13,GlobalFreight,10,90,Bulk Order,Chicago,7/21/21,bfd9a7a2-0cfa-417f-9233-6d9d9c95a412,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.039894104003906,16,Shipper,-144,-45,Bulk Order,Houston,12/11/20,27c75efe-3bd9-4d3a-9b9c-26538e4c22b0,Ground,Late,f1cb3845-019a-4fa9-99f3-111c03158514
14.020263671875,15,MicroCarrier,74,152,Bulk Order,Atlanta,7/18/20,4e1920f4-2eff-4455-a321-f0a07450bb73,Ground,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
13.304944038391113,17,MicroCarrier,-247,-49,Bulk Order,San Francisco,1/20/21,23e26c94-dd42-4039-8ab4-8b166f2a232e,Standard,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
14.671679496765137,15,MicroCarrier,8,216,Single Order,Seattle,5/26/21,c805d284-8bd0-447c-9a7a-a599e027eb6c,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
10.012002944946289,10,MicroCarrier,7,-194,Bulk Order,New York City,2/6/20,3b7660b2-f501-4cd3-91c6-3c4253297b79,Express,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
12.047370910644531,12,MicroCarrier,29,-89,Bulk Order,Chicago,11/29/20,0357f0a6-9b23-4dfd-b0d4-cb42ad7bcffb,Air,On Time,f1cb3845-019a-4fa9-99f3-111c03158514
